Year_Month,Location,Card_type,Trip
2019-07,Crown Street Light Rail,Sgl Trip LR Child/Youth,31
2019-07,Honeysuckle Light Rail,Adult,6908
2019-07,Honeysuckle Light Rail,CTP,972
2019-07,Honeysuckle Light Rail,Child/Youth,841
2019-07,Honeysuckle Light Rail,Concession,377
2019-07,Honeysuckle Light Rail,Day Pass without SAF,2
2019-07,Honeysuckle Light Rail,Employee,33
2019-07,Honeysuckle Light Rail,Free Travel,48
2019-07,Honeysuckle Light Rail,School Student,200
2019-07,Honeysuckle Light Rail,Senior/Pensioner,2435
2019-07,Honeysuckle Light Rail,Sgl Trip LR Adult,64
2019-07,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,41
2019-07,Newcastle Beach Light Rail,Adult,6987
2019-07,Newcastle Beach Light Rail,CTP,1149
2019-07,Newcastle Beach Light Rail,Child/Youth,1537
2019-07,Newcastle Beach Light Rail,Concession,444
2019-07,Newcastle Beach Light Rail,Employee,18
2019-07,Newcastle Beach Light Rail,Free Travel,45
2019-07,Newcastle Beach Light Rail,School Student,93
2019-07,Newcastle Beach Light Rail,Senior/Pensioner,3876
2019-07,Newcastle Beach Light Rail,Sgl Trip LR Adult,225
2019-07,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,217
2019-07,Newcastle Interchange Light Rail,Adult,21941
2019-07,Newcastle Interchange Light Rail,CTP,1856
2019-07,Newcastle Interchange Light Rail,Child/Youth,3429
2019-07,Newcastle Interchange Light Rail,Concession,1859
2019-07,Newcastle Interchange Light Rail,Day Pass without SAF,2
2019-07,Newcastle Interchange Light Rail,Employee,151
2019-07,Newcastle Interchange Light Rail,Free Travel,153
2019-07,Newcastle Interchange Light Rail,School Student,207
2019-07,Newcastle Interchange Light Rail,Senior/Pensioner,8795
2019-07,Newcastle Interchange Light Rail,Sgl Trip LR Adult,358
2019-07,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,381
2019-07,Queens Wharf Light Rail,Adult,7721
2019-07,Queens Wharf Light Rail,CTP,652
2019-07,Queens Wharf Light Rail,Child/Youth,1768
2019-07,Queens Wharf Light Rail,Concession,424
2019-07,Queens Wharf Light Rail,Day Pass without SAF,1
2019-07,Queens Wharf Light Rail,Employee,31
2019-07,Queens Wharf Light Rail,Free Travel,111
2019-07,Queens Wharf Light Rail,School Student,265
2019-07,Queens Wharf Light Rail,Senior/Pensioner,4460
2019-07,Queens Wharf Light Rail,Sgl Trip LR Adult,132
2019-07,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,152
2019-08,Civic Light Rail,Adult,10483
2019-08,Civic Light Rail,CTP,1383
2019-08,Civic Light Rail,Child/Youth,641
2019-08,Civic Light Rail,Concession,3751
2019-08,Civic Light Rail,Day Pass without SAF,3
2019-08,Civic Light Rail,Employee,39
2019-08,Civic Light Rail,Free Travel,71
2019-08,Civic Light Rail,School Student,91
2019-08,Civic Light Rail,Senior/Pensioner,2574
2019-08,Civic Light Rail,Sgl Trip LR Adult,106
2019-08,Civic Light Rail,Sgl Trip LR Child/Youth,32
2019-08,Crown Street Light Rail,Adult,3309
2019-08,Crown Street Light Rail,CTP,624
2019-08,Crown Street Light Rail,Child/Youth,315
2019-08,Crown Street Light Rail,Concession,287
2019-08,Crown Street Light Rail,Employee,60
2019-08,Crown Street Light Rail,Free Travel,28
2019-08,Crown Street Light Rail,School Student,74
2019-08,Crown Street Light Rail,Senior/Pensioner,1426
2019-08,Crown Street Light Rail,Sgl Trip LR Adult,39
2019-08,Crown Street Light Rail,Sgl Trip LR Child/Youth,12
2019-08,Honeysuckle Light Rail,Adult,6635
2019-08,Honeysuckle Light Rail,CTP,881
2019-08,Honeysuckle Light Rail,Child/Youth,451
2019-08,Honeysuckle Light Rail,Concession,706
2019-08,Honeysuckle Light Rail,Employee,47
2019-08,Honeysuckle Light Rail,Free Travel,61
2019-08,Honeysuckle Light Rail,School Student,424
2019-08,Honeysuckle Light Rail,Senior/Pensioner,2294
2019-08,Honeysuckle Light Rail,Sgl Trip LR Adult,61
2019-08,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,19
2019-08,Newcastle Beach Light Rail,Adult,6664
2019-08,Newcastle Beach Light Rail,CTP,1227
2019-08,Newcastle Beach Light Rail,Child/Youth,945
2019-08,Newcastle Beach Light Rail,Concession,688
2019-08,Newcastle Beach Light Rail,Employee,31
2019-08,Newcastle Beach Light Rail,Free Travel,42
2019-08,Newcastle Beach Light Rail,School Student,200
2019-08,Newcastle Beach Light Rail,Senior/Pensioner,3291
2019-08,Newcastle Beach Light Rail,Sgl Trip LR Adult,113
2019-08,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,60
2019-08,Newcastle Interchange Light Rail,Adult,21116
2019-08,Newcastle Interchange Light Rail,CTP,2221
2019-08,Newcastle Interchange Light Rail,Child/Youth,1766
2019-08,Newcastle Interchange Light Rail,Concession,4370
2019-08,Newcastle Interchange Light Rail,Employee,145
2019-08,Newcastle Interchange Light Rail,Free Travel,153
2019-08,Newcastle Interchange Light Rail,School Student,400
2019-08,Newcastle Interchange Light Rail,Senior/Pensioner,7943
2019-08,Newcastle Interchange Light Rail,Sgl Trip LR Adult,292
2019-08,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,113
2019-08,Queens Wharf Light Rail,Adult,6863
2019-08,Queens Wharf Light Rail,CTP,768
2019-08,Queens Wharf Light Rail,Child/Youth,773
2019-08,Queens Wharf Light Rail,Concession,702
2019-08,Queens Wharf Light Rail,Employee,28
2019-08,Queens Wharf Light Rail,Free Travel,94
2019-08,Queens Wharf Light Rail,School Student,518
2019-08,Queens Wharf Light Rail,Senior/Pensioner,3926
2019-08,Queens Wharf Light Rail,Sgl Trip LR Adult,96
2019-08,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,36
2019-09,Civic Light Rail,Adult,9837
2019-09,Civic Light Rail,CTP,1476
2019-09,Civic Light Rail,Child/Youth,611
2019-09,Civic Light Rail,Concession,3179
2019-09,Civic Light Rail,Day Pass without SAF,1
2019-09,Civic Light Rail,Employee,26
2019-09,Civic Light Rail,Free Travel,68
2019-09,Civic Light Rail,School Student,93
2019-09,Civic Light Rail,Senior/Pensioner,2661
2019-09,Civic Light Rail,Sgl Trip LR Adult,83
2019-09,Civic Light Rail,Sgl Trip LR Child/Youth,50
2019-09,Crown Street Light Rail,Adult,3325
2019-09,Crown Street Light Rail,CTP,630
2019-09,Crown Street Light Rail,Child/Youth,310
2019-09,Crown Street Light Rail,Concession,274
2019-09,Crown Street Light Rail,Employee,47
2019-09,Crown Street Light Rail,Free Travel,20
2019-09,Crown Street Light Rail,School Student,65
2019-09,Crown Street Light Rail,Senior/Pensioner,1343
2019-09,Crown Street Light Rail,Sgl Trip LR Adult,39
2019-09,Crown Street Light Rail,Sgl Trip LR Child/Youth,14
2019-09,Honeysuckle Light Rail,Adult,6266
2019-09,Honeysuckle Light Rail,CTP,950
2019-09,Honeysuckle Light Rail,Child/Youth,570
2019-09,Honeysuckle Light Rail,Concession,630
2019-09,Honeysuckle Light Rail,Employee,45
2019-09,Honeysuckle Light Rail,Free Travel,51
2019-09,Honeysuckle Light Rail,School Student,287
2019-09,Honeysuckle Light Rail,Senior/Pensioner,2395
2019-09,Honeysuckle Light Rail,Sgl Trip LR Adult,66
2019-09,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,33
2019-09,Newcastle Beach Light Rail,Adult,6483
2019-09,Newcastle Beach Light Rail,CTP,1312
2019-09,Newcastle Beach Light Rail,Child/Youth,879
2019-09,Newcastle Beach Light Rail,Concession,729
2019-09,Newcastle Beach Light Rail,Employee,17
2019-09,Newcastle Beach Light Rail,Free Travel,29
2019-09,Newcastle Beach Light Rail,School Student,168
2019-09,Newcastle Beach Light Rail,Senior/Pensioner,3399
2019-09,Newcastle Beach Light Rail,Sgl Trip LR Adult,117
2019-09,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,68
2019-09,Newcastle Interchange Light Rail,Adult,20489
2019-09,Newcastle Interchange Light Rail,CTP,2429
2019-09,Newcastle Interchange Light Rail,Child/Youth,1797
2019-09,Newcastle Interchange Light Rail,Concession,3719
2019-09,Newcastle Interchange Light Rail,Day Pass without SAF,1
2019-09,Newcastle Interchange Light Rail,Employee,111
2019-09,Newcastle Interchange Light Rail,Free Travel,163
2019-09,Newcastle Interchange Light Rail,School Student,320
2019-09,Newcastle Interchange Light Rail,Senior/Pensioner,7613
2019-09,Newcastle Interchange Light Rail,Sgl Trip LR Adult,245
2019-09,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,90
2019-09,Queens Wharf Light Rail,Adult,6554
2019-09,Queens Wharf Light Rail,CTP,938
2019-09,Queens Wharf Light Rail,Child/Youth,758
2019-09,Queens Wharf Light Rail,Concession,679
2019-09,Queens Wharf Light Rail,Day Pass Child/Youth w/o SAF,67
2019-09,Queens Wharf Light Rail,Day Pass without SAF,10
2019-09,Queens Wharf Light Rail,Employee,22
2019-09,Queens Wharf Light Rail,Free Travel,104
2019-09,Queens Wharf Light Rail,School Student,396
2019-09,Queens Wharf Light Rail,Senior/Pensioner,3876
2019-09,Queens Wharf Light Rail,Sgl Trip LR Adult,101
2019-09,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,42
2019-10,Civic Light Rail,Adult,9903
2019-10,Civic Light Rail,CTP,2117
2019-10,Civic Light Rail,Child/Youth,1146
2019-10,Civic Light Rail,Concession,2467
2019-10,Civic Light Rail,Employee,35
2019-10,Civic Light Rail,Free Travel,70
