from_stop,to_stop,from_name,to_name,from_modes,to_modes,straight_distance_m,walk_distance_m,walk_time_s,is_sheltered,requires_road_crossing,signalised_crossing_delay_s,total_transfer_time_s,in_interchange_group,source
lightrail:2300123,nisc001:230044,Civic Light Rail,King St after Darby St,lr,other,314.7,393.4,314.7,0,1,22,336.7,0,modelled
lightrail:2300123,nisc001:230045,Civic Light Rail,King St before Darby St,lr,other,398.1,497.6,398.1,0,1,22,420.1,0,modelled
lightrail:2300123,nisc001:230048,Civic Light Rail,"University House, King St",lr,other,129.5,161.9,129.5,0,1,22,151.5,0,modelled
lightrail:2300123,nisc001:230049,Civic Light Rail,King St after Auckland St,lr,other,196.9,246.1,196.9,0,1,22,218.9,0,modelled
lightrail:2300123,nisc001:230051,Civic Light Rail,King St after Union St,lr,other,362.2,452.8,362.2,0,1,22,384.2,0,modelled
lightrail:2300123,nisc001:230067,Civic Light Rail,"Newcastle Art Gallery, Darby St",lr,other,318.7,398.4,318.7,0,1,22,340.7,0,modelled
lightrail:2300123,nisc001:230091,Civic Light Rail,Darby St opp Newcastle Art Gallery,lr,other,340.2,425.3,340.2,0,1,22,362.2,0,modelled
lightrail:2300123,nisc001:2300111,Civic Light Rail,"Newcastle Maritime Museum, Honeysuckle Dr",lr,other,212.8,266.0,212.8,0,1,22,234.8,0,modelled
lightrail:2300123,nisc001:2300112,Civic Light Rail,Honeysuckle Dr after Settlement Lane,lr,other,274.9,343.6,274.9,0,1,22,296.9,0,modelled
lightrail:2300123,lightrail:2300124,Civic Light Rail,Civic Light Rail,lr,lr,7.2,9.0,7.2,0,0,0,7.2,0,modelled
lightrail:2300124,nisc001:230044,Civic Light Rail,King St after Darby St,lr,other,312.8,391.0,312.8,0,1,22,334.8,0,modelled
lightrail:2300124,nisc001:230045,Civic Light Rail,King St before Darby St,lr,other,396.9,496.1,396.9,0,1,22,418.9,0,modelled
lightrail:2300124,nisc001:230048,Civic Light Rail,"University House, King St",lr,other,122.7,153.4,122.7,0,1,22,144.7,0,modelled
lightrail:2300124,nisc001:230049,Civic Light Rail,King St after Auckland St,lr,other,192.0,240.0,192.0,0,1,22,214.0,0,modelled
lightrail:2300124,nisc001:230051,Civic Light Rail,King St after Union St,lr,other,360.2,450.3,360.2,0,1,22,382.2,0,modelled
lightrail:2300124,nisc001:230067,Civic Light Rail,"Newcastle Art Gallery, Darby St",lr,other,311.9,389.8,311.9,0,1,22,333.9,0,modelled
lightrail:2300124,nisc001:230091,Civic Light Rail,Darby St opp Newcastle Art Gallery,lr,other,333.4,416.8,333.4,0,1,22,355.4,0,modelled
lightrail:2300124,nisc001:2300111,Civic Light Rail,"Newcastle Maritime Museum, Honeysuckle Dr",lr,other,219.8,274.7,219.8,0,1,22,241.8,0,modelled
lightrail:2300124,nisc001:2300112,Civic Light Rail,Honeysuckle Dr after Settlement Lane,lr,other,279.0,348.8,279.0,0,1,22,301.0,0,modelled
lightrail:2300129,nisc001:230018,Newcastle Beach Light Rail,"Customs House, Watt St",lr,other,168.9,211.1,168.9,0,1,22,190.9,0,modelled
lightrail:2300129,nisc001:230038,Newcastle Beach Light Rail,Watt St opp Customs House,lr,other,171.5,214.4,171.5,0,1,22,193.5,0,modelled
lightrail:2300129,nisc001:230039,Newcastle Beach Light Rail,King St at Bolton St,lr,other,316.0,395.0,316.0,0,1,22,338.0,0,modelled
lightrail:2300129,nisc001:230043,Newcastle Beach Light Rail,Parnell Pl opp Alfred St,lr,other,297.7,372.1,297.7,0,1,22,319.7,0,modelled
lightrail:2300129,nisc001:230089,Newcastle Beach Light Rail,Bolton St at King St,lr,other,359.4,449.2,359.4,0,1,22,381.4,0,modelled
lightrail:2300129,nisc001:230090,Newcastle Beach Light Rail,King St at Watt St,lr,other,281.5,351.9,281.5,0,1,22,303.5,0,modelled
lightrail:2300129,nisc001:2300140,Newcastle Beach Light Rail,Scott St after Zara St,lr,other,205.7,257.1,205.7,0,1,22,227.7,0,modelled
