stop_id,stop_name,stop_lat,stop_lon,modes_served,n_routes,location_type,parent_station,platform_geom,shelter,seating,real_time_info,step_free,platform_height_mm,interchange_group_id,attribute_source
nisc001:228244,East St opp Vennard St,-32.972743,151.657703,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228245,East St opp Wellings St,-32.972392,151.655354,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228246,East St opp Nott St,-32.972113,151.653472,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228247,Yorston St opp Pring St,-32.97252,151.651114,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228248,Yorston St after Holt St,-32.975004,151.649372,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228249,Yorston St opp Holt St,-32.97463,151.649474,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228250,Yorston St at Pring St,-32.972445,151.650978,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228251,East St after Nott St,-32.972024,151.65368,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228252,East St at Wellings St,-32.97238,151.656051,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228253,Vennard St at East St,-32.97241,151.658126,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228254,Vennard St after East St,-32.971502,151.658321,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228255,Myles Ave at Vennard St,-32.969715,151.658395,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228257,Myles Ave opp Biddabah Ave,-32.969299,151.655652,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228258,Yorston St before East St,-32.970973,151.652215,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228259,Yorston St opp Nott St,-32.970548,151.652322,other,2,,,,-1,-1,-1,-1,0,,assumed
nisc001:228260,Myles Ave opp Warners Bay High School,-32.96896,151.653138,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228261,King St after Pring St,-32.972096,151.649711,other,8,,,,-1,-1,-1,-1,0,,assumed
nisc001:228262,King St opp Charles St,-32.974263,151.648093,other,8,,,,-1,-1,-1,-1,0,,assumed
nisc001:228263,St Mary's PS before Warner St,-32.975878,151.648747,other,2,,,,-1,-1,-1,-1,0,,assumed
nisc001:228264,John St opp Warners Bay Village Shopping Centre,-32.974192,151.645619,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228267,King St after Charles St,-32.974051,151.647959,other,10,,,,-1,-1,-1,-1,0,,assumed
nisc001:228268,King St at Margaret St,-32.971709,151.649587,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228269,King St opp Myles Ave,-32.967691,151.65201,other,9,,,,-1,-1,-1,-1,0,,assumed
nisc001:228270,Margaret St after King St,-32.971066,151.64934,other,2,,,,-1,-1,-1,-1,0,,assumed
nisc001:228271,Lake St at Martin St,-32.971091,151.648285,other,2,,,,-1,-1,-1,-1,0,,assumed
nisc001:228272,The Esplanade before King St,-32.974598,151.644512,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228273,The Esplanade opp King St,-32.97467,151.644284,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228274,Bayview St after King St,-32.975302,151.648117,other,8,,,,-1,-1,-1,-1,0,,assumed
nisc001:228275,Bayview St opp St Mary's Primary School,-32.976219,151.649636,other,10,,,,-1,-1,-1,-1,0,,assumed
nisc001:228276,Bayview St before Carwood Cl,-32.976544,151.653002,other,10,,,,-1,-1,-1,-1,0,,assumed
nisc001:228277,Bayview St before Andrew St,-32.976441,151.655186,other,10,,,,-1,-1,-1,-1,0,,assumed
nisc001:228278,Bayview St after Gayton Cl,-32.976819,151.658868,other,2,,,,-1,-1,-1,-1,0,,assumed
nisc001:228279,Bayview St after Taylor Cres,-32.976653,151.661254,other,1,,,,-1,-1,-1,-1,0,,assumed
nisc001:228280,Bayview St opp Taylor Cres,-32.9768,151.660863,other,1,,,,-1,-1,-1,-1,0,,assumed
nisc001:228281,Bayview St after Panorama Pde,-32.97695,151.658756,other,2,,,,-1,-1,-1,-1,0,,assumed
nisc001:228282,Mills St at Bayview St,-32.977042,151.655965,other,9,,,,-1,-1,-1,-1,0,,assumed
nisc001:228283,Mills St before Gregory Pde,-32.978868,151.654454,other,9,,,,-1,-1,-1,-1,0,,assumed
nisc001:228284,Mills St opp Bucklee Cres,-32.979952,151.652273,other,9,,,,-1,-1,-1,-1,0,,assumed
nisc001:228285,Jonathan St at Warners Bay Rd,-32.982506,151.651328,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228286,Warners Bay Rd at Punt Rd,-32.982388,151.647969,other,1,,,,-1,-1,-1,-1,0,,assumed
nisc001:228287,Warners Bay Rd at Augusta St,-32.982245,151.64887,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228288,Jonathan St after Warners Bay Rd,-32.982215,151.651171,other,9,,,,-1,-1,-1,-1,0,,assumed
nisc001:228289,"Warners Bay Public School, Mills St",-32.979479,151.649169,other,9,,,,-1,-1,-1,-1,0,,assumed
nisc001:228290,Queen St after James St,-32.976609,151.646516,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228291,Warner St after Bayview St,-32.975958,151.648046,other,2,,,,-1,-1,-1,-1,0,,assumed
