SA1_CODE_2021,zone_tier,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
10602161516,core,..,39,39,60,0,62,36,0,36,28,0,28,13,0,13,0,0,3,146,37,182
10602161517,core,..,30,30,51,4,52,41,0,41,42,0,42,21,0,21,0,0,0,156,34,188
10602161518,core,..,28,28,38,6,38,36,0,36,27,0,27,26,0,26,3,0,3,129,28,158
10602161519,core,..,33,33,60,0,64,50,0,45,49,0,49,32,0,34,16,0,16,204,38,245
10602161520,core,..,10,10,75,0,75,34,0,36,24,0,24,13,0,13,6,0,6,149,11,163
10602161521,core,..,73,73,114,6,113,16,0,16,27,0,27,16,0,16,7,0,7,183,75,259
10602161522,core,..,24,24,60,4,61,41,0,41,51,0,51,17,0,17,0,0,0,162,28,188
10602161523,core,..,15,15,44,0,41,21,0,21,16,0,16,10,0,10,4,0,4,100,15,118
10602161524,core,..,21,21,33,0,33,14,0,14,12,0,12,11,0,11,0,0,0,72,21,91
10602161525,core,..,48,48,48,9,51,26,0,28,12,0,16,14,0,14,4,0,4,103,55,162
10602161526,core,..,17,17,26,0,26,11,0,11,20,0,20,18,0,18,9,0,9,82,21,104
10602161527,core,..,7,7,24,3,30,43,0,43,31,0,31,30,0,30,8,0,8,133,13,148
10602161528,core,..,18,18,40,3,46,30,0,30,47,0,47,16,0,16,8,0,8,142,18,164
10602161529,core,..,87,87,94,0,97,4,0,4,6,0,6,0,0,0,0,0,0,105,86,192
10602161530,core,..,30,30,41,3,40,23,0,23,17,0,17,4,0,4,0,0,0,87,34,117
10602161531,core,..,11,11,25,4,29,11,0,11,11,0,11,4,0,4,3,0,3,61,13,68
10602161532,core,..,19,19,44,3,45,32,0,32,41,0,43,20,0,20,10,0,10,148,27,176
10602161533,core,..,16,16,37,4,42,8,0,8,22,0,22,18,0,18,10,0,10,100,22,120
10602161534,core,..,26,26,66,7,69,42,0,42,40,0,40,13,0,13,3,0,3,176,30,207
10602161535,core,..,18,18,40,0,40,24,0,24,42,0,42,3,0,3,0,0,0,116,18,132
10602161536,core,..,18,18,46,0,53,27,0,29,28,0,28,9,0,9,6,0,6,122,20,137
10602161537,core,..,21,21,48,0,55,23,0,23,14,0,14,10,0,10,8,0,8,100,23,125
10602161538,core,..,67,67,57,5,63,22,0,24,19,0,19,4,0,4,3,0,3,105,75,176
10602161539,core,..,13,13,32,0,38,27,0,27,24,0,24,14,0,14,7,0,7,102,16,116
10602161601,core,..,37,37,45,9,51,15,0,17,16,0,16,8,0,8,0,0,0,91,42,134
10602161602,core,..,38,38,21,8,28,14,0,14,9,0,9,5,0,5,0,0,0,51,42,95
10602161603,core,..,21,21,50,0,53,14,0,14,15,0,15,9,0,9,8,0,8,97,25,127
10602161604,core,..,63,63,31,6,38,11,0,11,19,0,16,9,0,9,5,0,5,76,64,146
10602161605,core,..,54,54,43,5,46,28,0,28,11,0,11,9,0,9,0,0,0,90,57,148
10602161606,core,..,20,20,35,0,37,24,0,24,15,0,15,3,0,3,4,0,4,92,23,117
10602161607,core,..,63,63,62,8,69,25,0,25,20,0,20,8,0,8,3,0,3,121,67,185
10602161608,core,..,20,20,34,0,34,16,0,16,5,0,5,3,0,3,5,0,5,72,20,95
10602161609,core,..,70,70,67,3,72,33,0,33,26,0,29,7,0,7,7,0,7,141,77,217
10602161610,core,..,46,46,62,5,66,33,0,32,30,0,30,7,0,7,0,0,0,140,48,190
10602161611,core,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10602161612,core,..,73,73,48,3,55,38,0,38,14,0,14,7,0,7,9,0,9,110,77,184
10602161613,core,..,42,42,58,0,60,30,0,30,26,0,26,14,0,14,3,0,3,140,43,184
10602161614,core,..,50,50,58,6,70,43,0,43,32,0,32,6,0,6,4,0,4,145,56,202
