geography,source_file,FINANCIAL_YEAR,HH_LGA_ID,area_name,TRAVEL_PURPOSE,JOURNEYS_BY_MODE,PCT_OF_TOTAL_JOURNEYS,DISTANCE_BY_PURPOSE,PCT_OF_TOTAL_DISTANCE,JOURNEY_AVG_DISTANCE,JOURNEY_AVG_TIME,HH_SA3_ID
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,1720.0,Cessnock,Work related business**,5000,2.9,62000,3.0,12.4,20.8,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,4650.0,Lake Macquarie,Commute,69000,10.1,1272000,16.8,18.4,26.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,4650.0,Lake Macquarie,Education/childcare*,68000,10.0,482000,6.4,7.1,18.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,4650.0,Lake Macquarie,Other*,3000,0.5,11000,0.1,3.1,9.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,4650.0,Lake Macquarie,Personal business,70000,10.4,657000,8.7,9.3,18.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,4650.0,Lake Macquarie,Serve passenger,99000,14.6,768000,10.2,7.8,17.3,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,4650.0,Lake Macquarie,Shopping,103000,15.2,775000,10.3,7.5,15.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,4650.0,Lake Macquarie,Social/recreation,224000,32.9,2615000,34.6,11.7,25.6,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,4650.0,Lake Macquarie,Work related business*,43000,6.3,983000,13.0,23.0,30.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5050.0,Maitland,Commute,42000,11.0,941000,22.0,22.4,27.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5050.0,Maitland,Education/childcare*,27000,7.0,201000,4.7,7.4,14.8,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5050.0,Maitland,Other*,5000,1.2,49000,1.1,10.2,16.6,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5050.0,Maitland,Personal business*,17000,4.4,97000,2.3,5.7,11.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5050.0,Maitland,Serve passenger*,108000,28.1,975000,22.8,9.1,15.6,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5050.0,Maitland,Shopping,61000,15.8,510000,11.9,8.4,14.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5050.0,Maitland,Social/recreation,109000,28.6,1015000,23.7,9.3,18.4,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5050.0,Maitland,Work related business*,15000,3.9,495000,11.6,33.2,34.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5900.0,Newcastle,Commute,68000,12.1,1050000,23.4,15.5,24.1,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5900.0,Newcastle,Education/childcare,36000,6.4,119000,2.7,3.3,12.1,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5900.0,Newcastle,Other*,7000,1.3,80000,1.8,11.0,36.3,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5900.0,Newcastle,Personal business,55000,9.8,366000,8.2,6.7,15.4,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5900.0,Newcastle,Serve passenger,92000,16.6,578000,12.9,6.3,12.8,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5900.0,Newcastle,Shopping,81000,14.5,483000,10.8,6.0,13.4,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5900.0,Newcastle,Social/recreation,198000,35.4,1400000,31.3,7.1,16.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5900.0,Newcastle,Work related business*,22000,3.9,403000,9.0,18.5,23.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,6400.0,Port Stephens,Commute,31000,13.1,612000,19.4,19.5,26.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,6400.0,Port Stephens,Education/childcare*,27000,11.5,433000,13.7,15.8,24.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,6400.0,Port Stephens,Other**,1000,0.5,8000,0.3,6.9,10.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,6400.0,Port Stephens,Personal business,35000,14.5,550000,17.5,15.9,23.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,6400.0,Port Stephens,Serve passenger*,40000,16.9,465000,14.7,11.5,17.4,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,6400.0,Port Stephens,Shopping,37000,15.6,313000,9.9,8.4,13.5,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,6400.0,Port Stephens,Social/recreation,55000,23.2,442000,14.0,8.0,14.3,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,6400.0,Port Stephens,Work related business*,11000,4.6,330000,10.5,30.4,34.7,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,1720.0,Cessnock,Commute,22000,13.5,789000,34.0,35.3,40.8,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,1720.0,Cessnock,Education/childcare,20000,12.2,115000,5.0,5.7,10.8,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,1720.0,Cessnock,Other,3000,1.6,25000,1.1,9.6,15.1,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,1720.0,Cessnock,Personal business,12000,7.4,218000,9.4,17.9,21.8,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,1720.0,Cessnock,Serve passenger,57000,34.6,333000,14.4,5.8,8.8,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,1720.0,Cessnock,Shopping,21000,12.7,377000,16.2,18.0,27.2,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,1720.0,Cessnock,Social/recreation,27000,16.0,414000,17.8,15.6,20.3,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,1720.0,Cessnock,Work related business,4000,2.1,50000,2.2,14.4,22.7,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,4650.0,Lake Macquarie,Commute,92000,13.2,1919000,26.6,20.8,30.7,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,4650.0,Lake Macquarie,Education/childcare,54000,7.8,340000,4.7,6.2,18.1,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,4650.0,Lake Macquarie,Other,9000,1.2,80000,1.1,9.3,22.2,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,4650.0,Lake Macquarie,Personal business,59000,8.5,607000,8.4,10.3,19.2,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,4650.0,Lake Macquarie,Serve passenger,125000,17.9,934000,12.9,7.5,14.2,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,4650.0,Lake Macquarie,Shopping,135000,19.4,1064000,14.7,7.9,14.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,4650.0,Lake Macquarie,Social/recreation,182000,26.0,1675000,23.2,9.2,18.4,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,4650.0,Lake Macquarie,Work related business,42000,6.0,602000,8.3,14.5,24.0,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5050.0,Maitland,Commute,38000,17.5,893000,36.0,23.6,31.3,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5050.0,Maitland,Education/childcare,18000,8.1,95000,3.8,5.4,15.2,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5050.0,Maitland,Other,1000,0.4,3000,0.1,3.5,12.6,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5050.0,Maitland,Personal business,14000,6.3,87000,3.5,6.4,21.6,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5050.0,Maitland,Serve passenger,30000,13.7,240000,9.6,8.1,15.9,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5050.0,Maitland,Shopping,55000,25.6,302000,12.2,5.5,13.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5050.0,Maitland,Social/recreation,46000,21.3,574000,23.1,12.4,18.8,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5050.0,Maitland,Work related business,15000,6.9,289000,11.7,19.4,29.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5900.0,Newcastle,Commute,106000,19.4,1454000,32.9,13.7,26.6,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5900.0,Newcastle,Education/childcare,43000,7.9,221000,5.0,5.1,17.6,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5900.0,Newcastle,Other,9000,1.6,53000,1.2,6.2,14.0,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5900.0,Newcastle,Personal business,38000,6.9,224000,5.1,6.0,14.3,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5900.0,Newcastle,Serve passenger,83000,15.2,349000,7.9,4.2,12.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5900.0,Newcastle,Shopping,103000,18.7,613000,13.9,6.0,16.1,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5900.0,Newcastle,Social/recreation,147000,26.8,968000,21.9,6.6,15.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5900.0,Newcastle,Work related business,19000,3.5,536000,12.1,28.0,37.8,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,6400.0,Port Stephens,Commute,27000,14.6,406000,15.3,15.2,19.7,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,6400.0,Port Stephens,Education/childcare,10000,5.6,73000,2.8,7.2,14.3,
