node_id,lat,lon,direction,signal_type,ped_phase_flag,button_operated,name
11583149972,-32.969652,151.6918132,forward,signal,-1,,
8733522286,-32.9656376,151.6952656,forward,,1,,
8733522468,-32.9631983,151.6924,,,-1,,
8733522470,-32.9629122,151.6924207,,,-1,,
11402955450,-32.9635285,151.6960072,forward,signal,-1,,
11402955451,-32.9634147,151.695914,forward,signal,-1,,
11402955452,-32.963619,151.6957939,forward,,-1,,
11402958564,-32.9621938,151.6959363,forward,,-1,,
11402958566,-32.9623716,151.6960347,forward,signal,-1,,
11404087767,-32.9678225,151.6947863,forward,signal,-1,,
11404094253,-32.9658713,151.6953339,forward,,-1,,
11404094260,-32.9656914,151.6956164,forward,,-1,,
11404094263,-32.9655636,151.6955277,forward,,-1,,
11404153679,-32.9676968,151.6944514,forward,signal,-1,,
11690171139,-32.963317,151.695161,forward,signal,-1,,
11690171140,-32.9635286,151.695121,backward,,-1,,
11690171141,-32.963434,151.6952842,forward,signal,-1,,
11987151243,-32.9657359,151.6947918,forward,signal,-1,,
11989946667,-32.9629795,151.6922806,,,-1,,
12174697228,-32.963465,151.6924569,forward,signal,-1,,
12174697230,-32.9637619,151.6922893,forward,signal,-1,,
12174697269,-32.9636344,151.6924863,backward,signal,-1,,
12174697273,-32.9631215,151.6926669,,,-1,,
12693272563,-32.9621077,151.6952532,forward,signal,-1,,
12693272564,-32.9621825,151.6955262,forward,signal,-1,,
12693272565,-32.9622805,151.6953683,backward,signal,-1,,
12693272568,-32.9655303,151.6947314,forward,signal,-1,,
12693272569,-32.9657161,151.6945758,forward,signal,-1,,
13136280318,-32.9657941,151.693586,backward,signal,-1,,
13136280319,-32.9658833,151.6934065,forward,signal,-1,,
13136280320,-32.9659756,151.6937875,forward,signal,-1,,
13136280321,-32.9661044,151.6936009,forward,signal,-1,,
2157256157,-32.9614454,151.6965369,forward,signal,-1,,
11402958562,-32.962275,151.6962896,forward,signal,-1,,
11402958565,-32.9621462,151.6961803,forward,signal,-1,,
11402963235,-32.9613942,151.6968739,forward,signal,-1,,
7915550781,-32.9620079,151.7182566,forward,signal,-1,,
13110395131,-32.9621021,151.718423,forward,signal,-1,,
11989946632,-32.9434732,151.6264653,forward,,-1,,
11989946633,-32.9431367,151.6267904,backward,,-1,,
13321409955,-32.9432218,151.6265151,forward,signal,-1,,
13321409956,-32.9433971,151.6267709,backward,signal,-1,,
7914877486,-32.9354333,151.6290572,forward,,1,,
9521094347,-32.9355294,151.6292445,forward,,1,,
11989946649,-32.9356917,151.6292082,backward,,-1,,
11989946650,-32.9356142,151.6290381,backward,,-1,,
7810234957,-32.9497878,151.6564318,forward,,-1,,
12581928795,-32.9496414,151.6563183,forward,signal,-1,,
12581928796,-32.9495486,151.6565929,forward,signal,-1,,
12693272514,-32.9492747,151.671347,forward,signal,-1,,
12693272515,-32.9494186,151.671515,forward,signal,-1,,
7836989334,-32.9427364,151.6538763,forward,,-1,,
12412170165,-32.942901,151.6540288,backward,signal,-1,,
12412170166,-32.942824,151.6542117,forward,signal,-1,,
12412170167,-32.9426523,151.6540435,forward,signal,-1,,
385123139,-32.9460105,151.6572498,backward,,-1,,
7598971593,-32.9422486,151.6580737,forward,signal,-1,,
7836915886,-32.9423334,151.657824,forward,signal,-1,,
7836915887,-32.942465,151.658172,forward,signal,-1,,
7836915888,-32.9425499,151.657899,forward,signal,-1,,
7837131626,-32.9461672,151.6572196,forward,signal,-1,,
7836267741,-32.939785,151.6578647,forward,signal,-1,,
7836267743,-32.9396009,151.6580905,forward,signal,-1,,
7836267744,-32.9394931,151.6578661,forward,signal,-1,,
7836312736,-32.9380873,151.65735,forward,,-1,,
12303101011,-32.9383928,151.6572529,forward,signal,-1,,
12303101012,-32.9382445,151.6571059,backward,signal,-1,,
12303101013,-32.9397918,151.6602104,backward,signal,-1,,
12303101014,-32.9398838,151.6600649,forward,signal,-1,,
12303101015,-32.9399485,151.6603236,backward,signal,-1,,
12303101016,-32.9400363,151.6601671,forward,signal,-1,,
7846035464,-32.9422964,151.6651401,forward,,-1,,
12303101021,-32.942384,151.6654207,backward,signal,-1,,
12303101022,-32.9424449,151.665234,forward,signal,-1,,
738828725,-32.9330269,151.6366215,backward,signal,-1,,
13013172373,-32.9328743,151.6364213,forward,signal,-1,,
