rel_id,restriction,from_way,via_member,to_way,lat,lon,located_by,source,dist_to_base2026_m,dist_to_S2c_m,dist_to_S4_m,dist_to_S5_m,corridor_flag
17719847,no_u_turn,326871089,1087917664,172631272,-32.9260098,151.7570385,via_way,osm,270.4,270.4,164.4,164.4,0
8172013,no_u_turn,508425404,419699912,508425410,-32.926673,151.7582857,via_way,osm,277.8,294.2,190.8,190.8,0
8172011,no_u_turn,532949909,508425404,419699912,-32.9266185,151.7581566,via_way,osm,278.1,290.3,188.6,188.6,0
18146891,only_left_turn,47893950,189698998,712318291,-32.922545,151.7562157,via_node,osm,289.4,289.4,164.4,164.4,0
18816782,no_right_turn,47893734,189698998,712318291,-32.922545,151.7562157,via_node,osm,289.4,289.4,164.4,164.4,0
8172010,no_u_turn,419699912,508425410,532949909,-32.9267773,151.7581857,via_way,osm,292.3,307.1,204.5,204.5,0
8172012,no_u_turn,508425410,532949909,508425404,-32.9267289,151.7580377,via_way,osm,294.2,304.5,203.8,203.8,0
17731845,no_u_turn,58797504,575630134,1324859473,-32.9213687,151.7602123,via_way,osm,325.3,306.6,325.3,325.3,0
8172046,no_u_turn,1324859472,575630134,575630130,-32.9213687,151.7602123,via_way,osm,325.3,306.6,325.3,325.3,0
12212209,no_right_turn,173254612,272199171,888333612,-32.9251234,151.7550794,via_node,osm,363.8,363.8,113.9,113.9,0
8117178,no_right_turn,570069741,1840986595,570069737,-32.9242152,151.7543417,via_node,osm,413.0,413.0,0.0,0.0,0
8172022,no_u_turn,569092891,570069741,570069737,-32.9242152,151.7543417,via_way,osm,413.0,413.0,0.0,0.0,0
8172024,no_u_turn,569683791,569092891,570069741,-32.9241358,151.7542005,via_way,osm,425.9,425.9,12.4,12.4,0
8112228,no_right_turn,570069737,1835178765,569683791,-32.924248,151.7542013,via_node,osm,426.3,426.3,0.0,0.0,0
8172023,no_u_turn,570069741,570069737,569683791,-32.924248,151.7542013,via_way,osm,426.3,426.3,0.0,0.0,0
8116664,no_u_turn,261326139,2669590797,261326138,-32.9296378,151.7623677,via_node,osm,429.6,585.9,429.6,429.6,0
8105538,no_right_turn,569683791,174794562,569092891,-32.9241566,151.7540825,via_node,osm,436.9,437.0,14.8,14.8,0
8172021,no_u_turn,570069737,569683791,569092891,-32.9241566,151.7540825,via_way,osm,436.9,437.0,14.8,14.8,0
8116882,no_u_turn,862909825,188512957,508425412,-32.9280175,151.7568593,via_node,osm,472.3,473.9,377.1,377.1,0
3873644,no_right_turn,291701229,2951711951,195910730,-32.9242567,151.790662,via_node,osm,517.8,377.8,517.8,517.8,0
8150826,no_u_turn,570051316,573328863,573328870,-32.9244128,151.7527941,via_way,osm,558.7,558.7,11.3,11.3,0
8150827,no_u_turn,569683792,573328863,573328865,-32.9244128,151.7527941,via_way,osm,558.7,558.7,11.3,11.3,0
12189258,only_left_turn,895380203,8322875524,895380208,-32.9324917,151.7707428,via_node,osm,590.9,829.7,590.8,590.8,0
8112227,no_u_turn,173254610,17379880,31731494,-32.9217308,151.7527792,via_node,osm,614.2,614.2,300.6,300.6,0
3508802,only_left_turn,261326309,186780787,18068521,-32.9328004,151.7655608,via_node,osm,662.1,907.2,662.1,662.1,0
8116881,no_u_turn,573328861,570051317,688558118,-32.9246502,151.7514642,via_way,osm,684.7,684.7,11.8,11.8,0
