poi_id,lat,lon,category,category_group,attraction_weight,name,brand,opening_hours,levels,in_cbd,year,weight_source
w26258662,-32.9342245,151.6434336,amenity:parking,amenity,0.4,,,,,0,2026,assumed
w31653552,-32.9357244,151.6450023,amenity:parking,amenity,0.4,,,,,0,2026,assumed
w59608728,-32.9359723,151.6489161,landuse:industrial,landuse,0.1,Downer EDI,,,,0,2026,assumed
w244500465,-32.9339045,151.6421213,retail:mall,retail,1.0,Glendale City Centre,,,,0,2026,assumed
w244517104,-32.9350929,151.6499301,amenity:parking,amenity,0.4,,,,,0,2026,assumed
w405399503,-32.9429022,151.6414459,landuse:industrial,landuse,0.1,,,,,0,2026,assumed
w405781725,-32.9470332,151.6491686,landuse:residential,landuse,0.1,,,,,0,2026,assumed
w1051641031,-32.9459116,151.6439057,leisure:pitch,leisure,0.9,,,,,0,2026,assumed
w1051641039,-32.9461556,151.6439806,leisure:pitch,leisure,0.9,,,,,0,2026,assumed
w1051641040,-32.9469023,151.6435895,leisure:pitch,leisure,0.9,,,,,0,2026,assumed
w31612537,-32.9356595,151.6407826,leisure:park,leisure,0.9,,,,,0,2026,assumed
w1282115793,-32.940774,151.643627,amenity:fuel,amenity,0.4,Hodge Petroleum,,,,0,2026,assumed
w244517106,-32.9356996,151.6491699,amenity:parking,amenity,0.4,,,,,0,2026,assumed
w1084133292,-32.9611905,151.651656,leisure:swimming_pool,leisure,0.9,,,,,0,2026,assumed
w1084133293,-32.9611773,151.6507103,leisure:swimming_pool,leisure,0.9,,,,,0,2026,assumed
w1084133294,-32.961043,151.6505025,leisure:swimming_pool,leisure,0.9,,,,,0,2026,assumed
w1084133295,-32.9605743,151.6512611,leisure:swimming_pool,leisure,0.9,,,,,0,2026,assumed
w1084133300,-32.9601599,151.650828,leisure:swimming_pool,leisure,0.9,,,,,0,2026,assumed
w1084133301,-32.9588176,151.6505339,leisure:swimming_pool,leisure,0.9,,,,,0,2026,assumed
w1084133302,-32.9588803,151.6512559,leisure:swimming_pool,leisure,0.9,,,,,0,2026,assumed
w1084133303,-32.9595771,151.6513672,leisure:swimming_pool,leisure,0.9,,,,,0,2026,assumed
