building_id,lat,lon,footprint_m2,levels,levels_source,gross_floor_area_m2,building_type,shop,amenity,name,year
b1285741824,-32.9325748,151.7242889,306.2,2,assumed,612.4,residential,,,,2026
b1285741826,-32.9322544,151.724331,63.4,1,assumed,63.4,house,,,,2026
b1285741828,-32.932396,151.7244847,138.0,1,assumed,138.0,house,,,,2026
b1285741829,-32.9329412,151.7237462,231.3,1,assumed,231.3,house,,,,2026
b1286309289,-32.9317298,151.725148,333.0,2,assumed,666.0,yes,,,,2026
b1286309290,-32.9315793,151.7253272,327.9,2,assumed,655.8,residential,,,,2026
b1286309291,-32.9314498,151.7254784,344.4,2,assumed,688.7,residential,,,,2026
b1286309292,-32.931218,151.725764,344.3,2,assumed,688.5,residential,,,,2026
b1286309293,-32.9313119,151.7256066,301.5,2,assumed,603.0,residential,,,,2026
b1286309294,-32.9304761,151.7262564,228.8,2,assumed,457.5,yes,,,,2026
b1286309296,-32.9301005,151.7267219,259.7,2,assumed,519.4,yes,,,,2026
b1286309297,-32.9307614,151.7272509,467.6,2,assumed,935.2,residential,,,,2026
b1286309298,-32.9309822,151.7274297,342.0,2,assumed,684.0,residential,,,,2026
b1286309299,-32.9310935,151.7275484,327.0,2,assumed,654.0,residential,,,,2026
b1286309300,-32.9304708,151.7275417,156.5,1,assumed,156.5,house,,,,2026
b1286309301,-32.9308793,151.7279721,181.4,1,assumed,181.4,house,,,,2026
b1286309302,-32.930779,151.7277195,168.1,1,assumed,168.1,house,,,,2026
b1286309304,-32.9309574,151.7279021,92.0,1,assumed,92.0,house,,,,2026
b1286309305,-32.9308901,151.7278508,69.5,2,assumed,139.0,roof,,,,2026
b1286309306,-32.9309983,151.7285817,168.2,2,assumed,336.4,yes,,,,2026
b1286309307,-32.9316872,151.7265401,246.7,1,assumed,246.7,retail,alcohol,,Cellarbrations,2026
b1286309308,-32.9316781,151.7266565,56.3,2,assumed,112.6,roof,,,,2026
b1286386216,-32.9311082,151.7259614,410.8,1,assumed,410.8,house,,,,2026
b1286386218,-32.9310144,151.7259061,14.7,2,assumed,29.4,roof,,,,2026
b1286386219,-32.9310745,151.7260565,9.6,2,assumed,19.1,roof,,,,2026
b1286386220,-32.9309727,151.7260242,22.3,2,assumed,44.6,shed,,,,2026
b1286386221,-32.9310277,151.7257307,9.1,2,assumed,18.2,shed,,,,2026
b1286386222,-32.9309313,151.7262492,160.3,1,assumed,160.3,house,,,,2026
