SA1_CODE21,SA2_CODE21,SA2_NAME21,zone_tier,area_km2,x_mga56,y_mga56,lon,lat,population,dwellings_total,office,retail,food,civic,health,leisure,tourism,amenity,landuse,job_index,jobs_sa2,jobs,jobs_source,attr_HW,attr_HE,attr_HS,attr_HO,attr_WB,attr_NHB
10601110860,106011108,Cessnock,core,0.204,343603.1,6364205.8,151.328737,-32.8490851,474,193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7459,0.0,modelled_from_WPP_SA2,0.0,9.48,0.0,0.0,0.0,0.0
10601110861,106011108,Cessnock,core,1.2873,343957.0,6367746.4,151.3331141,-32.8172111,1482,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,18.0,7459,127.9,modelled_from_WPP_SA2,127.9,35.64,6.0,27.0,12.0,12.0
10601110862,106011108,Cessnock,core,5.4121,342519.4,6364885.3,151.3172762,-32.8428033,32,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6000000000000001,7459,4.3,modelled_from_WPP_SA2,4.3,0.64,0.0,0.0,0.0,0.0
10601110863,106011108,Cessnock,core,0.2566,342321.4,6363395.4,151.314907,-32.8562086,397,128,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,14.0,7459,99.5,modelled_from_WPP_SA2,99.5,7.94,0.0,35.0,0.0,0.0
10601110864,106011108,Cessnock,core,4.8122,344783.6,6369480.4,151.3422311,-32.8016927,660,242,0.0,0.0,1.0,2.0,0.0,7.0,16.0,4.0,3.0,102.6,7459,729.3,modelled_from_WPP_SA2,729.3,75.2,6.0,98.0,14.0,15.0
10601110865,106011108,Cessnock,core,0.3631,343042.7,6363647.5,151.3226557,-32.8540387,572,244,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,11.0,7459,78.2,modelled_from_WPP_SA2,78.2,12.94,5.5,13.0,3.0,8.0
10601110866,106011108,Cessnock,core,0.8349,344017.0,6366606.2,151.3335624,-32.8275005,806,311,0.0,0.0,0.0,0.0,0.0,9.0,1.0,5.0,1.0,26.2,7459,186.2,modelled_from_WPP_SA2,186.2,18.62,2.5,53.0,5.0,5.0
10601110901,106011109,Cessnock Surrounds,core,0.3318,341823.6,6357105.0,151.3085115,-32.912855,426,142,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,22.0,1688,55.2,modelled_from_WPP_SA2,55.2,39.019999999999996,4.5,9.0,6.0,9.0
10601110902,106011109,Cessnock Surrounds,core,0.8092,342641.5,6357115.4,151.3172568,-32.9128796,409,145,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,1688,10.0,modelled_from_WPP_SA2,10.0,9.18,1.0,7.0,2.0,2.0
10601110903,106011109,Cessnock Surrounds,core,0.3614,347344.0,6361186.5,151.3681992,-32.8768378,366,134,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,22.2,1688,55.7,modelled_from_WPP_SA2,55.7,37.82,4.5,9.0,6.0,9.0
10601110904,106011109,Cessnock Surrounds,core,0.2697,349964.4,6360833.5,151.396143,-32.8803823,255,86,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.2,1688,10.5,modelled_from_WPP_SA2,10.5,5.1000000000000005,0.0,10.0,0.0,0.0
10601110905,106011109,Cessnock Surrounds,core,0.8964,357910.9,6358391.2,151.4806878,-32.9034658,366,136,0.0,0.0,0.0,1.0,0.0,7.0,0.0,2.0,1.0,31.2,1688,78.2,modelled_from_WPP_SA2,78.2,38.32,1.0,40.0,7.0,5.0
10601110906,106011109,Cessnock Surrounds,core,68.2142,362748.3,6362655.0,151.5330309,-32.8656351,480,156,0.0,0.0,1.0,0.0,0.0,1.0,4.0,33.0,5.0,54.0,1688,135.4,modelled_from_WPP_SA2,135.4,26.1,20.5,55.0,33.0,38.0
10601110907,106011109,Cessnock Surrounds,core,0.2698,336860.5,6359658.2,151.2559102,-32.8891051,278,100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1688,37.6,modelled_from_WPP_SA2,37.6,35.56,0.0,3.0,5.0,3.0
10601110908,106011109,Cessnock Surrounds,core,0.706,337604.7,6359382.1,151.2638152,-32.8917055,544,202,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,22.4,1688,56.2,modelled_from_WPP_SA2,56.2,41.38,0.5,19.0,6.0,4.0
10601110909,106011109,Cessnock Surrounds,core,0.3246,339693.0,6358030.9,151.2858977,-32.9041959,545,211,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,12.2,1688,30.6,modelled_from_WPP_SA2,30.6,10.9,4.0,20.0,0.0,5.0
10601110911,106011109,Cessnock Surrounds,core,0.8489,342088.5,6356246.9,151.3111971,-32.9206301,289,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1688,0.5,modelled_from_WPP_SA2,0.5,5.78,0.0,0.0,0.0,0.0
10601110912,106011109,Cessnock Surrounds,core,55.6436,366064.4,6367971.3,151.5692339,-32.8181044,347,118,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,10.0,26.0,1688,65.2,modelled_from_WPP_SA2,65.2,38.44,5.5,11.0,8.0,11.0
